Country or Area,Year,Area,Sex,City,State,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
United States of America,2012,Total,Both Sexes,Norwalk ,California,City proper,Estimate - de jure,"Final figure, complete",2014,106278,"1,2"
United States of America,2012,Total,Both Sexes,Oakland ,California,City proper,Estimate - de jure,"Final figure, complete",2014,400740,"1,2"
United States of America,2012,Total,Both Sexes,Oceanside ,California,City proper,Estimate - de jure,"Final figure, complete",2014,171293,"1,2"
United States of America,2012,Total,Both Sexes,Odessa ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,106102,"1,2"
United States of America,2012,Total,Both Sexes,Oklahoma City ,Oklahoma,City proper,Estimate - de jure,"Final figure, complete",2014,599199,"1,2"
United States of America,2012,Total,Both Sexes,Olathe ,Kansas,City proper,Estimate - de jure,"Final figure, complete",2014,130045,"1,2"
United States of America,2012,Total,Both Sexes,Omaha ,Nebraska,City proper,Estimate - de jure,"Final figure, complete",2014,421570,"1,2"
United States of America,2012,Total,Both Sexes,Ontario ,California,City proper,Estimate - de jure,"Final figure, complete",2014,167211,"1,2"
United States of America,2012,Total,Both Sexes,Orange ,California,City proper,Estimate - de jure,"Final figure, complete",2014,139419,"1,2"
United States of America,2012,Total,Both Sexes,Orlando ,Florida,City proper,Estimate - de jure,"Final figure, complete",2014,249562,"1,2"
United States of America,2012,Total,Both Sexes,Overland Park ,Kansas,City proper,Estimate - de jure,"Final figure, complete",2014,178919,"1,2"
United States of America,2012,Total,Both Sexes,Oxnard ,California,City proper,Estimate - de jure,"Final figure, complete",2014,201555,"1,2"
United States of America,2012,Total,Both Sexes,Palmdale ,California,City proper,Estimate - de jure,"Final figure, complete",2014,155650,"1,2"
United States of America,2012,Total,Both Sexes,Palm Bay City ,Florida,City proper,Estimate - de jure,"Final figure, complete",2014,104124,"1,2"
United States of America,2012,Total,Both Sexes,Pasadena ,California,City proper,Estimate - de jure,"Final figure, complete",2014,138547,"1,2"
United States of America,2012,Total,Both Sexes,Pasadena ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,152272,"1,2"
United States of America,2012,Total,Both Sexes,Paterson ,New Jersey,City proper,Estimate - de jure,"Final figure, complete",2014,145219,"1,2"
United States of America,2012,Total,Both Sexes,Pembroke Pines ,Florida,City proper,Estimate - de jure,"Final figure, complete",2014,160306,"1,2"
United States of America,2012,Total,Both Sexes,Peoria ,Arizona,City proper,Estimate - de jure,"Final figure, complete",2014,159789,"1,2"
United States of America,2012,Total,Both Sexes,Peoria ,Illinois,City proper,Estimate - de jure,"Final figure, complete",2014,115687,"1,2"
United States of America,2012,Total,Both Sexes,Philadelphia ,Pennsylvania,City proper,Estimate - de jure,"Final figure, complete",2014,1547607,"1,2"
United States of America,2012,Total,Both Sexes,Phoenix ,Arizona,City proper,Estimate - de jure,"Final figure, complete",2014,1488750,"1,2"
United States of America,2012,Total,Both Sexes,Pittsburgh ,Pennsylvania,City proper,Estimate - de jure,"Final figure, complete",2014,306211,"1,2"
United States of America,2012,Total,Both Sexes,Plano ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,272068,"1,2"
United States of America,2012,Total,Both Sexes,Pomona ,California,City proper,Estimate - de jure,"Final figure, complete",2014,150812,"1,2"
United States of America,2012,Total,Both Sexes,Pompano Beach ,Florida,City proper,Estimate - de jure,"Final figure, complete",2014,102984,"1,2"
United States of America,2012,Total,Both Sexes,Port St. Lucie ,Florida,City proper,Estimate - de jure,"Final figure, complete",2014,168716,"1,2"
United States of America,2012,Total,Both Sexes,Portland ,Oregon,City proper,Estimate - de jure,"Final figure, complete",2014,603106,"1,2"
United States of America,2012,Total,Both Sexes,Providence ,Rhode Island,City proper,Estimate - de jure,"Final figure, complete",2014,178432,"1,2"
United States of America,2012,Total,Both Sexes,Provo ,Utah,City proper,Estimate - de jure,"Final figure, complete",2014,115919,"1,2"
United States of America,2012,Total,Both Sexes,Pueblo ,Colorado,City proper,Estimate - de jure,"Final figure, complete",2014,107772,"1,2"
United States of America,2012,Total,Both Sexes,Raleigh ,North Carolina,City proper,Estimate - de jure,"Final figure, complete",2014,423179,"1,2"
United States of America,2012,Total,Both Sexes,Rancho Cucamonga ,California,City proper,Estimate - de jure,"Final figure, complete",2014,170746,"1,2"
United States of America,2012,Total,Both Sexes,Reno ,Nevada,City proper,Estimate - de jure,"Final figure, complete",2014,231027,"1,2"
United States of America,2012,Total,Both Sexes,Rialto ,California,City proper,Estimate - de jure,"Final figure, complete",2014,101740,"1,2"
United States of America,2012,Total,Both Sexes,Richardson ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,103297,"1,2"
United States of America,2012,Total,Both Sexes,Richmond ,California,City proper,Estimate - de jure,"Final figure, complete",2014,106516,"1,2"
United States of America,2012,Total,Both Sexes,Richmond ,Virginia,City proper,Estimate - de jure,"Final figure, complete",2014,210309,"1,2"
United States of America,2012,Total,Both Sexes,Riverside ,California,City proper,Estimate - de jure,"Final figure, complete",2014,313673,"1,2"
United States of America,2012,Total,Both Sexes,Rochester ,Minnesota,City proper,Estimate - de jure,"Final figure, complete",2014,108992,"1,2"
United States of America,2012,Total,Both Sexes,Rochester ,New York,City proper,Estimate - de jure,"Final figure, complete",2014,210532,"1,2"
United States of America,2012,Total,Both Sexes,Rockford ,Illinois,City proper,Estimate - de jure,"Final figure, complete",2014,150843,"1,2"
United States of America,2012,Total,Both Sexes,Roseville ,California,City proper,Estimate - de jure,"Final figure, complete",2014,124519,"1,2"
United States of America,2012,Total,Both Sexes,Round Rock ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,106573,"1,2"
